Y,X1,X2,X3,X4,X5,X6,X7
999,0.269,0.651,0.833,0.583,0.785,0.843,0.822
999,0.268,0.65,0.852,0.578,0.776,0.839,0.822
999,0.268,0.66,0.824,0.572,0.765,0.808,0.786
999,0.267,0.668,0.808,0.566,0.753,0.8,0.786
999,0.267,0.647,0.762,0.56,0.745,0.773,0.746
999,0.266,0.634,0.775,0.555,0.756,0.811,0.786
999,0.266,0.654,0.774,0.552,0.767,0.852,0.821
999,0.265,0.672,0.774,0.548,0.761,0.806,0.822
999,0.263,0.639,0.762,0.545,0.753,0.811,0.789
0.155,0.253,0.662,0.77,0.542,0.745,0.813,0.789
999,0.242,0.653,0.76,0.538,0.725,0.801,0.789
999,0.231,0.628,0.736,0.535,0.703,0.775,0.742
999,0.22,0.644,0.677,0.532,0.681,0.728,0.72
999,0.21,0.622,0.546,0.529,0.682,0.722,0.701
999,0.201,0.626,0.4,0.525,0.685,0.749,0.718
999,0.205,0.666,0.416,0.522,0.697,0.807,0.754
999,0.208,0.647,0.394,0.519,0.71,0.812,0.798
999,0.212,0.643,0.407,0.515,0.723,0.789,0.769
999,0.162,0.648,0.403,0.512,0.73,0.792,0.772
0.187,0.233,0.65,0.421,0.509,0.727,0.791,0.794
999,0.234,0.669,0.425,0.505,0.724,0.766,0.766
999,0.235,0.639,0.433,0.502,0.722,0.774,0.766
999,0.236,0.663,0.428,0.502,0.719,0.77,0.759
999,0.238,0.638,0.398,0.505,0.717,0.75,0.733
999,0.239,0.645,0.427,0.508,0.715,0.78,0.769
999,0.24,0.669,0.412,0.511,0.713,0.798,0.784
999,0.241,0.658,0.341,0.514,0.712,0.758,0.763
999,0.242,0.64,0.419,0.518,0.707,0.816,0.797
999,0.243,0.682,0.367,0.521,0.699,0.757,0.775
0.251,0.244,0.628,0.265,0.527,0.686,0.752,0.725
999,0.0728,0.643,0.298,0.535,0.709,0.78,0.793
999,0.132,0.647,0.148,0.544,0.704,0.792,0.77
999,0.14,0.665,0.201,0.552,0.737,0.826,0.808
999,0.135,0.665,0.224,0.552,0.732,0.829,0.827
999,0.131,0.666,0.28,0.549,0.727,0.813,0.813
999,0.111,0.664,0.349,0.547,0.721,0.775,0.76
999,0.0554,0.638,0.273,0.544,0.681,0.744,0.732
999,0,0.634,0.197,0.542,0.686,0.74,0.723
999,0.139,0.67,0.187,0.539,0.722,0.794,0.774
0.283,0.171,0.66,0.243,0.562,0.73,0.829,0.795
999,0.174,0.654,0.197,0.58,0.703,0.771,0.763
999,0.239,1,0.155,0.641,0.7,0.803,0.791
999,0.254,0.611,0.143,0.737,0.79,0.809,0.814
999,0.253,0.645,0.437,0.793,0.892,0.963,0.971
999,0.203,0.724,0.515,0.615,0.761,0.855,0.863
999,0.152,0.697,0.487,0.588,0.756,0.765,0.731
999,0.101,0.688,0.496,0.592,0.772,0.766,0.759
999,0.101,0.693,0.525,0.595,0.775,0.765,0.782
999,0.102,0.672,0.491,0.599,0.749,0.729,0.739
0.3,0.103,0.656,0.446,0.602,0.731,0.722,0.741
999,0.104,0.682,0.431,0.606,0.698,0.735,0.737
999,0.105,0.675,0.423,0.609,0.69,0.736,0.737
999,0.107,0.651,0.313,0.613,0.708,0.737,0.762
999,0.11,0.69,0.412,0.621,0.754,0.825,0.828
999,0.116,0.702,0.466,0.629,0.736,0.799,0.821
999,0.122,0.705,0.506,0.637,0.723,0.775,0.786
999,0.128,0.684,0.509,0.646,0.72,0.78,0.74
999,0.133,0.664,0.491,0.654,0.716,0.773,0.781
999,0.139,0.638,0.467,0.662,0.716,0.808,0.781
0.375,0.145,0.686,0.516,0.67,0.725,0.777,0.808
999,0.151,0.663,0.502,0.658,0.723,0.79,0.78
999,0.157,0.691,0.556,0.642,0.736,0.801,0.809
999,0.162,0.703,0.629,0.625,0.743,0.799,0.804
999,0.168,0.695,0.641,0.608,0.731,0.797,0.784
999,0.174,0.683,0.664,0.592,0.719,0.767,0.776
999,0.182,0.677,0.604,0.575,0.706,0.766,0.767
999,0.192,0.662,0.617,0.56,0.719,0.769,0.777
999,0.202,0.683,0.603,0.547,0.721,0.797,0.817
999,0.212,0.717,0.616,0.535,0.72,0.78,0.789
0.374,0.222,0.713,0.61,0.522,0.719,0.806,0.776
999,0.232,0.671,0.631,0.509,0.718,0.802,0.824
999,0.243,0.705,0.599,0.497,0.725,0.8,0.805
999,0.253,0.706,0.629,0.484,0.759,0.789,0.833
999,0.322,0.725,0.693,0.471,0.771,0.832,0.853
999,0.314,0.628,0.759,0.446,0.766,0.796,0.836
