record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
e116-s21-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.03455271044655463,0.08475790244531237
l141-s3-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,2,0.19620905831449487,-0.07373259154261422
l225-s8-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.1355204256239365,-0.1661874199584869
l141-s22-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,2,0.09435891885839445,-0.10720229593398306
l254-s7-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.4129497322353423,-0.10812647678870793
l171-s15-rittigstein-2006,article:l171,S2,PMMA / Al2O3,material_identity,4,0.06970504459138624,0.469150338077472
l283-s7-salami-2012,article:l283,S1,PMMA / SiO2,material_identity,1,0.05936794531391514,0.05997338884017502
l254-s24-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.41915929482745407,-0.10972695771959032
l254-s12-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.41872476253895435,-0.11087823884499434
l171-s14-rittigstein-2006,article:l171,S2,PMMA / Al2O3,material_identity,4,0.04985125346844406,0.45671141329291537
l242-s4-narayanan-2006,article:l242,S2,PMMA / Al2O3,material_identity,4,-0.16096202741610321,0.3139722012630126
l140-s9-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.05156480160404655,-0.11768085083181024
l140-s8-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.07738311300764367,-0.09032678764347928
l211-s17-ash-2004,article:l211,S2,PMMA / Al2O3,material_identity,4,-0.19218777581661534,0.31146701808282257
e116-s31-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.03936001903175032,0.0862743750029083
l211-s15-ash-2004,article:l211,S2,PMMA / Al2O3,material_identity,4,-0.19352946194626036,0.3113924778927314
l171-s18-rittigstein-2006,article:l171,S1,PMMA / SiO2,material_identity,1,0.05341268289658723,0.06773518816398111
l254-s5-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.41762135891395774,-0.11299260742992066
l140-s5-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.05391700490745786,-0.10744530015977903
l270-s8-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.13016512505119807,-0.21516103843569165
e116-s11-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.0345527104465546,0.08475790244531223
l283-s5-salami-2012,article:l283,S1,PMMA / SiO2,material_identity,1,0.19854245832798542,0.12586669869612976
l270-s3-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.12786690643389134,-0.2090633880264087
l225-s3-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.10918279660740943,-0.16139785200745901
l254-s29-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.38999526571876614,-0.08809492366046708
l141-s13-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,2,0.15253577013252123,-0.08149449630228549
l389-s5-natarajan-2013,article:l389,S6,PS / SiO2,material_identity,1,0.12047632467845158,-0.03775947977252075
l254-s36-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.19733195864102435,-0.13443697288656006
l204-s12-bansal-2005,article:l204,S6,PS / SiO2,material_identity,5,0.42439479841087235,-0.05866720305924111
l180-s3-maillard-2012,article:l180,S6,PS / SiO2,material_identity,1,0.17065057444430504,-0.035853921008438705
l283-s11-salami-2012,article:l283,S1,PMMA / SiO2,material_identity,1,0.2537350995250136,0.14472513940382034
l254-s28-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.4111035747803774,-0.102800736896063
l154-s3-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.15484415981968583,-0.13250530085065715
l140-s2-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.08595730849632212,-0.12115431507679603
l141-s5-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,6,0.372670422096618,-0.1095849061027742
l203-s2-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.09447697253242615,-0.21741651528989792
l209-s7-ash-2001,article:l209,S2,PMMA / Al2O3,material_identity,4,-0.16215592260378184,0.3165412304362045
l242-s6-narayanan-2006,article:l242,S2,PMMA / Al2O3,material_identity,4,-0.15437404286379053,0.31684765609404825
l204-s2-bansal-2005,article:l204,S6,PS / SiO2,material_identity,1,0.09561144335505059,-0.0634209121801629
l242-s9-narayanan-2006,article:l242,S2,PMMA / Al2O3,material_identity,4,-0.12770000998197495,0.3299969268564937
l275-s4-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.12541901273343356,-0.1422337552844229
l180-s6-maillard-2012,article:l180,S6,PS / SiO2,material_identity,5,0.36416799725402066,-0.023550863629211355
l171-s28-rittigstein-2006,article:l171,S1,PMMA / SiO2,material_identity,1,0.06244772932885388,0.07525222562607929
l230-s9-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.1088556313176852,-0.15939834079852927
l275-s5-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.12487979218408846,-0.14111242443428507
l230-s8-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.10909890203902675,-0.16073804862125235
l271-s3-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,6,0.28062487903657607,-0.11897998239214369
l180-s5-maillard-2012,article:l180,S6,PS / SiO2,material_identity,1,0.30475000026726884,-0.005435807212333047
l389-s8-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.1945953900485262,0.1442297928128786
l209-s12-ash-2001,article:l209,S2,PMMA / Al2O3,material_identity,4,0.003649991085778144,0.44235736875225834
l217-s6-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,4,-0.11139655950124538,0.3899332337077857
l118-s9-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.12345638750359751,-0.14633771641905732
l171-s27-rittigstein-2006,article:l171,S1,PMMA / SiO2,material_identity,1,0.05918951090624421,0.07341817685927955
l154-s6-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.15484415981968583,-0.13250530085065712
l154-s4-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.06585282570191307,-0.14433986554211967
l217-s3-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,4,-0.09247586650298256,0.3589572802783639
l389-s6-natarajan-2013,article:l389,S6,PS / SiO2,material_identity,1,0.2465991695590004,0.003985376139340121
l389-s3-natarajan-2013,article:l389,S6,PS / SiO2,material_identity,1,0.11617746651384457,-0.039867665270275125
l204-s4-bansal-2005,article:l204,S6,PS / SiO2,material_identity,1,0.11316497232161889,-0.04728453908971223
l203-s6-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.09229288742370162,-0.21135895850790992
l118-s4-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,material_identity,2,-0.12345638750359748,-0.1463377164190573
l217-s4-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,4,-0.09247586650298259,0.35895728027836393
l271-s6-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,6,0.31624741774628323,-0.22639612215349167
l389-s12-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.19885597551768658,0.14518984786397576
l271-s5-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,6,0.3323464615909914,-0.2294030005227973
l271-s8-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,6,0.3636310645550178,-0.18201198757592066
l389-s11-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.07687668198100087,0.09376072328083129
e408-s24-prasad-2021,article:e408,S6,PS / SiO2,material_identity,1,0.09742365550491021,-0.05265161718214555
l180-s4-maillard-2012,article:l180,S6,PS / SiO2,material_identity,1,0.23776195962757046,-0.019477081327588627
e408-s3-prasad-2021,article:e408,S6,PS / SiO2,material_identity,1,0.09742365550491018,-0.05265161718214557
l154-s2-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.21019379380879102,-0.15551363188432502
l154-s5-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.21019379380879102,-0.155513631884325
e116-s21-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.17681302857493955,0.1422327374844692
l141-s3-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,1,-0.11088345834700629,-0.1980574871129629
l225-s8-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.2242190139908819,-0.2198985608846584
l141-s22-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,1,-0.07103076408769494,-0.20170962865359884
l254-s7-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.410704328759857,0.11068943009284465
l171-s15-rittigstein-2006,article:l171,S2,PMMA / Al2O3,balanced_instance,1,-0.2712143279037582,0.201470249841979
l283-s7-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.03836288153906121,0.2215770358295252
l254-s24-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.4125314565755982,0.11047242354547765
l254-s12-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.41263993217448225,0.1097880316024281
l171-s14-rittigstein-2006,article:l171,S2,PMMA / Al2O3,balanced_instance,1,-0.26453895411050243,0.20793083125270423
l242-s4-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,4,-0.17151456492144682,0.13598235450862464
l140-s9-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,2,0.20882506595872574,-0.11748772311367901
l140-s8-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,2,0.19304816044806836,-0.1121052448329068
l211-s17-ash-2004,article:l211,S2,PMMA / Al2O3,balanced_instance,5,0.17392678195209482,0.17672802148968061
e116-s31-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.17798925992700604,0.14134682792165013
l211-s15-ash-2004,article:l211,S2,PMMA / Al2O3,balanced_instance,5,0.17481137461377616,0.1753731505561446
l171-s18-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,1,-0.211304068001915,0.08050123372616365
l254-s5-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.4128013525586191,0.10846442117764526
l140-s5-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,2,0.20671752602331347,-0.11875489812467364
l270-s8-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.01806450558102315,-0.175515827715611
e116-s11-prasad-2018,article:e116,S1,PMMA / SiO2,balanced_instance,1,-0.17680960555115494,0.1422283883213977
l283-s5-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.09520452537320112,0.22916351918427263
l270-s3-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.016644056071690904,-0.17282645798016438
l225-s3-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.22342966595670757,-0.2090663944326737
l254-s29-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.4025996817095775,0.11612345331646873
l141-s13-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,1,-0.09581466138608602,-0.19772253460280612
l389-s5-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,1,-0.13910535259383958,-0.0918841574069792
l254-s36-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.3592375337811298,0.07019391092401554
l204-s12-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,1,-0.29590780368627173,0.019055237654894384
l180-s3-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,1,-0.11935388978141113,-0.1878859822936031
l283-s11-salami-2012,article:l283,S1,PMMA / SiO2,balanced_instance,1,-0.11197110156413416,0.23330320349454411
l254-s28-castillo-2011,article:l254,S4,PC / MWCNT,balanced_instance,3,0.4091497688294896,0.11337633880358848
l154-s3-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,0.014115515619945415,0.025416613766569018
l140-s2-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,balanced_instance,2,0.18970576366890832,-0.13101102041892654
l141-s5-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,balanced_instance,1,-0.1539650407868587,-0.23563672224411059
l203-s2-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,balanced_instance,1,0.02903771617029285,-0.15627641706313808
l209-s7-ash-2001,article:l209,S2,PMMA / Al2O3,balanced_instance,6,0.12086744990556715,0.45382551748354755
l242-s6-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,4,-0.17491935248611432,0.14044238681548013
l204-s2-bansal-2005,article:l204,S6,PS / SiO2,balanced_instance,1,-0.19598050155658803,0.02993341452936515
l242-s9-narayanan-2006,article:l242,S2,PMMA / Al2O3,balanced_instance,1,-0.03743569337756163,0.1159230190383929
l275-s4-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.29426094080575427,-0.19811085842369722
l180-s6-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,1,-0.1692913644137872,-0.20814459074771033
l171-s28-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,1,-0.21710162918143697,0.08434423221968253
l230-s9-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.01108929082897174,-0.23540335695980255
l275-s5-zhou-2006,article:l275,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.2937154651597453,-0.19731360539788778
l230-s8-gojny-2004,article:l230,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.011253959710511853,-0.23599320598090334
l271-s3-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,balanced_instance,4,-0.2372007257012033,-0.05164174222419123
l180-s5-maillard-2012,article:l180,S6,PS / SiO2,balanced_instance,1,-0.15793519476183684,-0.18879190948059058
l389-s8-natarajan-2013,article:l389,S1,PMMA / SiO2,balanced_instance,1,-0.18388922073425942,-0.04039370271916191
l209-s12-ash-2001,article:l209,S2,PMMA / Al2O3,balanced_instance,6,0.049388667557364756,0.47358279485473503
l217-s6-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,1,-0.04433613038490903,0.14130211809675974
l118-s9-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,balanced_instance,2,0.3057692433587496,-0.14411368615657552
l171-s27-rittigstein-2006,article:l171,S1,PMMA / SiO2,balanced_instance,1,-0.2151064157973608,0.08365798680428195
l154-s6-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,0.014115515619945427,0.025416613766569097
l154-s4-eitan-2005,article:l154,S4,PC / MWCNT,balanced_instance,1,-0.022972850123369127,0.025061004040920917
l217-s3-ash-2002,article:l217,S2,PMMA / Al2O3,balanced_instance,1,-0.039470732629812266,0.1264901908681115
l389-s6-natarajan-2013,article:l389,S6,PS / SiO2,balanced_instance,1,-0.1810080695494222,-0.09138328301865517
