record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
e116-s21-prasad-2018,article:e116,M1,Solution Processing,Solution processing,method_blind_process,1,0.1924741450531741,-0.14778375923151987
l225-s8-ma-2007,article:l225,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.0931606948973182,0.24408397031994641
l182-s7-hoepfner-2017,article:l182,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.11339692405123387,0.24471635342493303
l254-s7-castillo-2011,article:l254,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.012575020636797513,0.163149299008694
l171-s15-rittigstein-2006,article:l171,M1,Solution Processing,Solution processing,method_blind_process,1,0.17947732990237764,-0.13762205020377363
l320-s2-wang-2014,article:l320,M1,Solution Processing,Solution processing,method_blind_process,1,-0.10326198525646955,0.38158470625072227
l324-s5-zhu-2017,article:l324,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.12203971033025449,-0.2360074920642444
l174-s6-ramanathan-2008,article:l174,M1,Solution Processing,Solution processing,method_blind_process,1,-0.2987038584384286,-0.0732101556881536
l225-s1-ma-2007,article:l225,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.22627636459884634,0.0962233662231718
l196-s4-petersson-2006,article:l196,M1,Solution Processing,Solution processing,method_blind_process,1,0.05114229515970805,0.15015801237633347
l385-s3-bailey-2019,article:l385,M1,Solution Processing,Solution processing,method_blind_process,1,0.2605144431363777,0.002727027837406477
l308-s4-demetrio-2013,article:l308,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.08618342141981157,-0.10072286089515592
l240-s6-hong-2005,article:l240,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.30263519079657303,0.21459859843346665
l262-s5-oyarzabal-2016,article:l262,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.29115069009420164,-0.28899812871283276
l378-s1-sotta-2017,article:l378,M1,Solution Processing,Solution processing,method_blind_process,1,-0.3478007881893109,-0.1286527828707749
l110-s7-singha-2008,article:l110,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.11514358544361726,-0.12634953865253717
l238-s3-zhao-2008,article:l238,M1,Solution Processing,Solution processing,method_blind_process,1,0.17036541479180833,0.2838873891828694
l242-s4-narayanan-2006,article:l242,M1,Solution Processing,Solution processing,method_blind_process,1,-0.35914342633469726,-0.13160838551347653
l140-s9-gao-2012,article:l140,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.07753961865867055,-0.21299576187439942
l210-s4-zhang-2014,article:l210,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.12447915380136666,-0.23080728477038492
l380-s1-zhao-2017,article:l380,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3772297975037466,-0.1597849745088013
l386-s54-jimenez-2019,article:l386,M1,Solution Processing,Solution processing,method_blind_process,1,0.18641297896800402,0.09514639057918206
l121-s8-nelson-2005,article:l121,M1,Solution Processing,Solution processing,method_blind_process,1,0.20202052824543276,0.1386240398683534
l379-s8-liu-2017,article:l379,M1,Solution Processing,Solution processing,method_blind_process,1,0.06028982845555528,0.01971654945342881
l211-s17-ash-2004,article:l211,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.08171131841670146,0.34370471304751693
l396-s6-ghosh-2013,article:l396,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.005964350088190025,0.33614116629101465
l111-s3-singha-2009,article:l111,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.2532202936460622,-0.06146606830944179
l211-s15-ash-2004,article:l211,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.08171131841670147,0.343704713047517
l313-s2-huang-2014,article:l313,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.13909127088015044,-0.29014138825449726
l290-s24-si-2006,article:l290,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3231672230439212,-0.1019372074107577
l229-s2-bao-2011,article:l229,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.11511164254579867,0.39485596976594867
l203-s17-ma-2009,article:l203,M1,Solution Processing,Solution processing,method_blind_process,1,0.1934115060163012,0.2946443295479635
l383-s1-sadeghi-2017,article:l383,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.37384965090278044,-0.15236528789990617
l309-s4-torki-2010,article:l309,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.304651982055501,-0.29426109982600446
l142-s2-gao-2014,article:l142,M1,Solution Processing,Solution processing,method_blind_process,1,0.16282709603399834,0.2282907112895263
l177-s2-yang-2013,article:l177,M1,Solution Processing,Solution processing,method_blind_process,1,-0.3668194462837431,-0.12264176246810586
l274-s3-goh-2003,article:l274,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.20912622762112232,0.053469651750040495
l221-s8-dai-2008,article:l221,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.2344105583968455,-0.22118885056235876
l191-s3-xie-2004,article:l191,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.15984828621146777,-0.17260453411984475
l275-s1-zhou-2006,article:l275,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.19651520384259918,0.4025051197480806
