pair,mask,policy,original_lower,original_upper,lower,upper,reported,interval_contains_original_interval,width_shrank,common_reported_fraction,structural_difference_fraction,excluded_weight,sparse_zero
0,unilateral,active,0.7692307692307693,0.9230769230769231,0.6666666666666666,1.0,1.0,True,False,0.0,0.6666666666666666,1.0,False
0,bilateral,active,0.7692307692307693,0.9230769230769231,0.18181818181818182,0.9090909090909091,0.6666666666666666,False,False,0.09090909090909091,0.18181818181818182,2.0,False
0,article_block,active,0.7692307692307693,0.9230769230769231,0.5,1.0,1.0,True,False,0.0,0.5,1.0,False
0,unilateral,fixed_schema,0.43478260869565216,0.9565217391304348,0.34782608695652173,1.0,1.0,True,False,0.0,0.34782608695652173,98.0,False
0,bilateral,fixed_schema,0.43478260869565216,0.9565217391304348,0.08695652173913043,0.9565217391304348,0.6666666666666666,True,False,0.043478260869565216,0.08695652173913043,98.0,False
0,article_block,fixed_schema,0.43478260869565216,0.9565217391304348,0.2608695652173913,1.0,1.0,True,False,0.0,0.2608695652173913,98.0,False
1,unilateral,active,0.7177299193104713,0.9282562350999449,0.5353815814943864,0.9242704703832751,0.8760789515362686,False,False,0.16666666666666666,0.4444444444444444,1.0,False
1,bilateral,active,0.7177299193104713,0.9282562350999449,0.4666666666666667,1.0,1.0,True,False,0.0,0.4666666666666667,4.0,False
1,article_block,active,0.7177299193104713,0.9282562350999449,0.5294117647058824,1.0,1.0,True,False,0.0,0.5294117647058824,2.0,False
1,unilateral,fixed_schema,0.34966329402305013,0.9650479094076655,0.24709919145894757,0.9650479094076655,0.8760789515362686,True,False,0.07692307692307693,0.20512820512820512,82.0,False
1,bilateral,fixed_schema,0.34966329402305013,0.9650479094076655,0.1794871794871795,1.0,1.0,True,False,0.0,0.1794871794871795,82.0,False
1,article_block,fixed_schema,0.34966329402305013,0.9650479094076655,0.23076923076923078,1.0,1.0,True,False,0.0,0.23076923076923078,82.0,False
2,unilateral,active,0.8965706950302585,0.9492022739776269,0.631578947368421,1.0,1.0,True,False,0.05263157894736842,0.5789473684210527,0.0,False
2,bilateral,active,0.8965706950302585,0.9492022739776269,0.5902848944455831,0.9432260709161713,0.9122584732340829,False,False,0.058823529411764705,0.5882352941176471,2.0,False
