left,right,occurrence_settings,aligned_settings,fixed_scale_balanced,subset_scale_balanced,augmented_descriptors_balanced
l221-s4-dai-2008,l297-s1-shen-2004,0.9090909090909091,0.9090909090909091,0.7585227272727272,0.7585227272727272,0.6050022709803647
l154-s3-eitan-2005,e410-s2-prasad-2021,0.9091245644599303,0.9091245644599303,0.681401075334714,0.6777402602421891,0.632910349922969
l275-s1-zhou-2006,l137-s8-yang-2014,0.9463801780874951,0.9481019622226297,0.8931386212055183,0.8931396350324963,0.7723726894048056
l121-s8-nelson-2005,l275-s1-zhou-2006,0.911476480836237,0.9364655923344948,0.5601633716565365,0.5601661089893767,0.5601633716565365
l258-s4-du-2004,l111-s4-singha-2009,1.0,1.0,0.7947358325822309,0.79393948188925,0.7938639028179895
l304-s3-stockelhuber-2011,l229-s7-bao-2011,1.0,0.9166666666666666,0.8129836309523809,0.8077266268513724,0.7326650526484788
l174-s6-ramanathan-2008,l121-s8-nelson-2005,1.0,1.0,0.8054398148148147,0.8054398148148147,0.7389409187096864
l278-s2-choi-2001,l318-s3-patsidis-2014,0.735805560161947,0.7274426538908246,0.7180809288613219,0.7193823666381922,0.6615730900345292
l221-s8-dai-2008,l325-s5-manafi-2015,0.9359421066738141,0.8906459394264272,0.7483152080790796,0.7436084860530203,0.6922527780177503
l262-s5-oyarzabal-2016,l397-s1-tuncer-2007,1.0,1.0,0.9242127496159754,0.9242127496159754,0.772228896452741
l200-s4-schoch-2008,l221-s4-dai-2008,0.7020905923344948,0.7020905923344948,0.6053879766331113,0.6002085591112349,0.5528289427294473
e410-s2-prasad-2021,l294-s6-sarwar-2007,0.890625,0.95,0.7479377843882186,0.7265362350635729,0.6815598457715416
l171-s15-rittigstein-2006,l287-s2-jang-2008,1.0,0.9003484320557492,0.7198807743020188,0.7009449608353091,0.7031132400800806
l314-s4-diezpascual-2011,l266-s8-kalaitzidou-2007,0.910801393728223,0.9127019322141273,0.7249571492863044,0.7242290668259379,0.726857138513495
l383-s1-sadeghi-2017,l136-s5-vescovo-2010,1.0,1.0,0.8048675115207373,0.8048675115207373,0.6819179447539145
l229-s7-bao-2011,l260-s5-haggenmueller-2006,1.0,0.9230769230769231,0.6579455417099933,0.6579241359636251,0.6053520521267924
l171-s15-rittigstein-2006,l392-s1-wang-2020,1.0,1.0,0.8088037634408602,0.8088037634408602,0.7107192832530507
l142-s2-gao-2014,l267-s3-kim-2006,0.8407789945246391,0.9315579890492783,0.6868479554701351,0.6823147476228703,0.64858695948356
l180-s3-maillard-2012,l111-s4-singha-2009,1.0,0.9443815331010453,0.7619293349641444,0.757239230614418,0.7387208815902221
e410-s2-prasad-2021,l306-s3-jiang-2008,1.0,1.0,0.6550849614593742,0.6549273649131571,0.6370120596195292
l229-s2-bao-2011,l146-s3-tao-2011,1.0,1.0,0.6874886724131607,0.6767192359543759,0.683493484774171
l396-s6-ghosh-2013,l310-s5-chatterjee-2007,0.9985576923076922,1.0,0.7155249909606753,0.7139575964670855,0.6830943374193068
