replicate,spearman,mean_absolute_change,max_absolute_change
0,0.9947844610977326,0.00847282756173354,0.054599283669236054
1,0.9998929980634645,0.0007508369376956099,0.006872744017979215
2,0.9995383249732738,0.0020619475109786224,0.021414905747836
3,0.9986244218238255,0.004035647170783626,0.028822415782238653
4,0.9998391084653391,0.0006418573878743404,0.03365612848415522
5,0.9968671654844926,0.0063847463911352416,0.03861360899863986
6,0.9909945185765276,0.01232729338509115,0.05922690689380705
7,0.9890780426167006,0.013296494481005198,0.06402086591441514
8,0.9924589871033435,0.010531506531980355,0.05369320662898003
9,0.9990600940897583,0.003201128167535375,0.02038015488434841
10,0.9982031896813772,0.004893066749424343,0.028323824548785237
11,0.9983986403331966,0.003557720720556675,0.025104580770922924
12,0.992182538112849,0.011279562913653883,0.05507847609451644
13,0.9981680779343534,0.004786557522123311,0.028886449721043594
14,0.9959690376595934,0.007506268023310397,0.046624084553010814
15,0.998619088402787,0.004244753483100628,0.0237574178907366
16,0.9988827575446627,0.003331156933504795,0.0404211469323581
17,0.999852997339007,0.0010128343159496167,0.016416134463608678
18,0.9997413290796338,0.0010452670758772117,0.034012096956761884
19,0.9993165431787809,0.0028948367439400146,0.017188365237655767
