record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
e116-s21-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.08230477599141646,0.15356520572509733
l141-s3-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,2,0.18863057253115278,-0.16530412852183737
l225-s8-ma-2007,article:l225,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.28033825755861563,-0.2235945135055298
l141-s22-gao-2013,article:l141,S5,DGEBA epoxy / SiO2,material_identity,2,0.0882546996920751,-0.18993410818135745
l254-s7-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.36543502470504674,-0.05314523152775279
l171-s15-rittigstein-2006,article:l171,S2,PMMA / Al2O3,material_identity,1,0.22496120480547604,0.47256317162437095
l283-s7-salami-2012,article:l283,S1,PMMA / SiO2,material_identity,1,0.08894481220447265,0.14157168737566309
l254-s24-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.37029196146282767,-0.05673756998080316
l254-s12-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.3703029106253126,-0.05674589851041174
l171-s14-rittigstein-2006,article:l171,S2,PMMA / Al2O3,material_identity,1,0.11219306837653649,0.4361051190049501
l242-s4-narayanan-2006,article:l242,S2,PMMA / Al2O3,material_identity,1,-0.14969213427257735,0.3298361902529261
l140-s9-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.04367666192240544,-0.22254448112082031
l140-s8-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.0726627069306649,-0.19686427093454184
l211-s17-ash-2004,article:l211,S2,PMMA / Al2O3,material_identity,1,-0.1483551967900914,0.3302033723069403
e116-s31-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.08971357090634977,0.15680809093770318
l211-s15-ash-2004,article:l211,S2,PMMA / Al2O3,material_identity,1,-0.15089724745087005,0.3296534615075025
l171-s18-rittigstein-2006,article:l171,S1,PMMA / SiO2,material_identity,1,0.0810255576937357,0.13548910507070375
l254-s5-castillo-2011,article:l254,S4,PC / MWCNT,material_identity,3,-0.3702029155124671,-0.05666966309619094
l140-s5-gao-2012,article:l140,S5,DGEBA epoxy / SiO2,material_identity,2,0.04367666192240547,-0.2225444811208203
l270-s8-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.2514104719637007,-0.21713858960525864
e116-s11-prasad-2018,article:e116,S1,PMMA / SiO2,material_identity,1,0.08230477599141625,0.1535652057250973
l283-s5-salami-2012,article:l283,S1,PMMA / SiO2,material_identity,1,0.23202468908244794,0.20139874447818382
l270-s3-montazeri-2010,article:l270,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.24599221870230414,-0.21033538098885587
