sample_id,view,n_gallery,old_to_revised_mean_abs_distance_change,old_to_revised_top5_overlap,overwrite_fix_only_mean_abs_distance_change,overwrite_fix_only_top5_overlap
l210-s2-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s2-zhang-2014,balanced_instance,132,0.04820873260851125,1.0,0.0,1.0
l210-s3-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s3-zhang-2014,balanced_instance,132,0.047722234854547484,1.0,0.0,1.0
l210-s4-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s4-zhang-2014,balanced_instance,132,0.04711734715554996,1.0,0.0,1.0
l210-s5-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s5-zhang-2014,balanced_instance,132,0.04736770008912,1.0,0.0,1.0
l210-s6-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s6-zhang-2014,balanced_instance,132,0.05103111478832356,1.0,0.0,1.0
l210-s7-zhang-2014,experimental_protocol,132,0.0015555616358686195,1.0,0.0,1.0
l210-s7-zhang-2014,balanced_instance,132,0.05625823133022445,1.0,0.0,1.0
l221-s1-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s1-dai-2008,balanced_instance,132,0.11344184087144668,1.0,2.8559403559403457e-05,1.0
l221-s2-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s2-dai-2008,balanced_instance,132,0.050521891136532424,1.0,2.8559403559403457e-05,1.0
l221-s3-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s3-dai-2008,balanced_instance,132,0.05009474695792387,1.0,2.8559403559403457e-05,1.0
l221-s4-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s4-dai-2008,balanced_instance,132,0.05089026912734931,1.0,2.8559403559403457e-05,1.0
l221-s5-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s5-dai-2008,balanced_instance,132,0.05257747821846681,1.0,2.8559403559403457e-05,1.0
l221-s6-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s6-dai-2008,balanced_instance,132,0.050521891136532424,1.0,2.8559403559403457e-05,1.0
l221-s7-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s7-dai-2008,balanced_instance,132,0.05009474695792387,1.0,2.8559403559403457e-05,1.0
l221-s8-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s8-dai-2008,balanced_instance,132,0.05089026912734931,1.0,2.8559403559403457e-05,1.0
l221-s9-dai-2008,experimental_protocol,132,0.0020947465242911584,1.0,5.140692640692639e-05,1.0
l221-s9-dai-2008,balanced_instance,132,0.05257747821846681,1.0,2.8559403559403457e-05,1.0
l260-s1-haggenmueller-2006,experimental_protocol,132,0.005024231620395542,1.0,0.00020392234028597734,1.0
l260-s1-haggenmueller-2006,balanced_instance,132,0.14178793496357084,0.6,0.00011329018904776555,1.0
l375-s1-rishi-2018,experimental_protocol,132,0.006667505259839054,1.0,0.00015845959595959565,1.0
l375-s1-rishi-2018,balanced_instance,132,0.12429425497245924,0.8,8.803310886644268e-05,1.0
l375-s4-rishi-2018,experimental_protocol,132,0.007156243581255456,1.0,0.0005342794831431179,1.0
l375-s4-rishi-2018,balanced_instance,132,0.0762614612550924,1.0,0.00029682193507951047,1.0
