view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
balanced_instance,0.0,0.1,coverage_0.5,14222,4,0,4,4,93,120,0.0002812543945999156,6.698482213657248e-05,0.0005967032147385695,0.0,0.0,0.0,1.0,1.0,1.0
balanced_instance,0.0,0.1,coverage_0.75,14222,0,0,4,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.1,interval_upper,14222,0,0,4,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.1,reported_point,14222,4,0,4,4,93,120,0.0002812543945999156,6.698482213657248e-05,0.0005967032147385695,0.0,0.0,0.0,1.0,1.0,1.0
balanced_instance,0.0,0.2,coverage_0.5,14222,8,0,14,8,93,120,0.0005625087891998312,0.0002059152593853227,0.0009781864444964726,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.9166666666666666
balanced_instance,0.0,0.2,coverage_0.75,14222,0,0,14,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.2,interval_upper,14222,0,0,14,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.2,reported_point,14222,14,0,14,14,93,120,0.0009843903810997047,0.00041849613434044185,0.0015534218715057896,0.0,0.0,0.0,1.0,1.0,1.0
balanced_instance,0.0,0.3,coverage_0.5,14222,37,0,49,37,93,120,0.0026016031500492197,0.001546755235668153,0.003766607169567568,0.0,0.0,0.0,0.7551020408163265,0.6,0.9090909090909091
balanced_instance,0.0,0.3,coverage_0.75,14222,0,0,49,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.3,interval_upper,14222,0,0,49,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.0,0.3,reported_point,14222,49,0,49,49,93,120,0.0034453663338489663,0.0021087765107710376,0.004863566586801474,0.0,0.0,0.0,1.0,1.0,1.0
balanced_instance,0.0,0.4,coverage_0.5,14222,102,0,160,102,93,120,0.007171987062297849,0.005290005766375895,0.009204357866253973,0.0,0.0,0.0,0.6375,0.519212962962963,0.7444464720194648
balanced_instance,0.0,0.4,coverage_0.75,14222,0,0,160,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
