sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
e116-s21-prasad-2018,article:e116,0.25,0,7,"[""extrusion#0:equipment type"", ""extrusion#0:residence time""]"
e116-s21-prasad-2018,article:e116,0.25,1,7,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time""]"
e116-s21-prasad-2018,article:e116,0.25,2,7,"[""extrusion#0:extrusion temperature"", ""extrusion#0:residence time""]"
e116-s21-prasad-2018,article:e116,0.5,0,7,"[""drying evaporation#0:ambient condition"", ""extrusion#0:equipment type"", ""extrusion#0:residence time"", ""extrusion#0:rotation speed""]"
e116-s21-prasad-2018,article:e116,0.5,1,7,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""extrusion#0:rotation mode"", ""extrusion#0:rotation speed""]"
e116-s21-prasad-2018,article:e116,0.5,2,7,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""extrusion#0:equipment type"", ""extrusion#0:extrusion temperature""]"
e116-s21-prasad-2018,article:e116,0.75,0,7,"[""drying evaporation#0:ambient condition"", ""extrusion#0:equipment type"", ""extrusion#0:extrusion temperature"", ""extrusion#0:residence time"", ""extrusion#0:rotation mode"", ""extrusion#0:rotation speed""]"
e116-s21-prasad-2018,article:e116,0.75,1,7,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""extrusion#0:equipment type"", ""extrusion#0:residence time"", ""extrusion#0:rotation mode"", ""extrusion#0:rotation speed""]"
e116-s21-prasad-2018,article:e116,0.75,2,7,"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""extrusion#0:extrusion temperature"", ""extrusion#0:residence time"", ""extrusion#0:rotation mode"", ""extrusion#0:rotation speed""]"
l225-s8-ma-2007,article:l225,0.25,0,13,"[""heating#1:temperature"", ""mixing#0:temperature"", ""mixing#1:mixing method"", ""mixing#1:time""]"
l225-s8-ma-2007,article:l225,0.25,1,13,"[""heating#1:time"", ""mixing#1:temperature"", ""mixing#1:time"", ""molding#0:temperature""]"
l225-s8-ma-2007,article:l225,0.25,2,13,"[""additive#0:additive"", ""heating#1:temperature"", ""mixing#1:temperature"", ""molding#0:temperature""]"
l225-s8-ma-2007,article:l225,0.5,0,13,"[""heating#0:ambient condition"", ""heating#0:time"", ""mixing#0:temperature"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:temperature"", ""mixing#1:time""]"
l225-s8-ma-2007,article:l225,0.5,1,13,"[""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#1:time"", ""mixing#0:temperature"", ""mixing#1:temperature"", ""molding#0:temperature"", ""molding#0:time""]"
l225-s8-ma-2007,article:l225,0.5,2,13,"[""heating#0:ambient condition"", ""heating#0:time"", ""heating#1:temperature"", ""mixing#0:time"", ""mixing#1:mixing method"", ""molding#0:temperature"", ""molding#0:time""]"
l225-s8-ma-2007,article:l225,0.75,0,13,"[""additive#0:additive"", ""heating#0:temperature"", ""heating#0:time"", ""heating#1:temperature"", ""heating#1:time"", ""mixing#0:temperature"", ""mixing#0:time"", ""mixing#1:time"", ""molding#0:temperature"", ""molding#0:time""]"
l225-s8-ma-2007,article:l225,0.75,1,13,"[""additive#0:additive"", ""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#1:temperature"", ""heating#1:time"", ""mixing#0:temperature"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:temperature"", ""mixing#1:time""]"
l225-s8-ma-2007,article:l225,0.75,2,13,"[""additive#0:additive"", ""heating#0:ambient condition"", ""heating#0:temperature"", ""heating#0:time"", ""heating#1:time"", ""mixing#0:temperature"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:temperature"", ""molding#0:time""]"
l182-s7-hoepfner-2017,article:l182,0.25,0,15,"[""heating#0:pressure"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#2:temperature""]"
l182-s7-hoepfner-2017,article:l182,0.25,1,15,"[""drying evaporation#0:temperature"", ""heating#0:temperature"", ""mixing#0:time"", ""mixing#1:time""]"
l182-s7-hoepfner-2017,article:l182,0.25,2,15,"[""mixing#0:mixing method"", ""mixing#1:temperature"", ""mixing#2:mixing method"", ""mixing#2:temperature""]"
l182-s7-hoepfner-2017,article:l182,0.5,0,15,"[""heating#0:pressure"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:mixer""]"
l182-s7-hoepfner-2017,article:l182,0.5,1,15,"[""heating#0:pressure"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:time"", ""mixing#1:mixer"", ""mixing#2:mixing method"", ""mixing#2:temperature"", ""mixing#2:time""]"
l182-s7-hoepfner-2017,article:l182,0.5,2,15,"[""drying evaporation#0:temperature"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#1:mixer"", ""mixing#2:mixing method"", ""mixing#2:time""]"
l182-s7-hoepfner-2017,article:l182,0.75,0,15,"[""heating#0:pressure"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixer"", ""mixing#1:mixing method"", ""mixing#1:temperature"", ""mixing#1:time"", ""mixing#2:mixer"", ""mixing#2:mixing method"", ""mixing#2:time""]"
