view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
balanced_instance,0.25,0.1,coverage_0.5,42666,9,3,12,6,93,360,0.00021094079594993672,2.3619292518031304e-05,0.00046448917345477523,0.3333333333333333,0.0,1.0,0.5,0.0,1.0
balanced_instance,0.25,0.1,coverage_0.75,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.1,interval_upper,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.1,reported_point,42666,15,3,12,12,93,360,0.00035156799324989455,9.150029338304049e-05,0.0006511272114897071,0.2,0.0,0.6490196078431377,1.0,1.0,1.0
balanced_instance,0.25,0.2,coverage_0.5,42666,22,6,42,16,93,360,0.000515633056766512,0.00017875317496989141,0.0009210628792395754,0.2727272727272727,0.05555555555555555,0.5557291666666665,0.38095238095238093,0.14285714285714285,0.6666666666666666
balanced_instance,0.25,0.2,coverage_0.75,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.2,interval_upper,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.2,reported_point,42666,43,6,42,37,93,360,0.0010078282473163643,0.0004802139458381366,0.0015492772407666026,0.13953488372093023,0.023242600422832983,0.3111458333333333,0.8809523809523809,0.7777777777777778,0.9792906746031744
balanced_instance,0.25,0.3,coverage_0.5,42666,72,6,147,66,93,360,0.0016875263675994938,0.0008833269500664357,0.0026138703982549923,0.08333333333333333,0.02418394777265745,0.171875,0.4489795918367347,0.29411764705882354,0.6001639344262293
balanced_instance,0.25,0.3,coverage_0.75,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.3,interval_upper,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.3,reported_point,42666,136,24,147,112,93,360,0.00318754980546571,0.0020154691728088963,0.004393293575604949,0.17647058823529413,0.07255184331797236,0.31579796264855686,0.7619047619047619,0.6337910798122066,0.875063775510204
balanced_instance,0.25,0.4,coverage_0.5,42666,276,60,480,216,93,360,0.006468851075798059,0.004709190120216643,0.008299467851317667,0.21739130434782608,0.11045586515016982,0.3426693404634581,0.45,0.3371252718235477,0.5582482993197279
balanced_instance,0.25,0.4,coverage_0.75,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.4,interval_upper,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.4,reported_point,42666,510,88,480,422,93,360,0.011953311770496414,0.0093398403424023,0.014529656672045123,0.17254901960784313,0.10296409872849664,0.25356614246068454,0.8791666666666667,0.8369816555514712,0.9196867469879518
balanced_instance,0.25,0.5,coverage_0.5,42666,1302,101,1950,1201,93,360,0.030516101814090844,0.024206853868874095,0.037341494759078706,0.07757296466973887,0.05426684563000755,0.10667942338593862,0.615897435897436,0.5359586243173068,0.6897490887883616
balanced_instance,0.25,0.5,coverage_0.75,42666,0,0,1950,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.25,0.5,interval_upper,42666,6,0,1950,6,93,360,0.0001406271972999578,0.0,0.0003635306092773012,0.0,0.0,0.0,0.003076923076923077,0.0,0.008488964346349746
balanced_instance,0.25,0.5,reported_point,42666,1918,168,1950,1750,93,360,0.04495382740355318,0.03755887803182379,0.0521876567094493,0.08759124087591241,0.06058715562822458,0.11823789999271084,0.8974358974358975,0.8676464205473856,0.9221787837784958
balanced_instance,0.5,0.1,coverage_0.5,42666,6,0,12,6,93,360,0.0001406271972999578,0.0,0.0003635306092773012,0.0,0.0,0.0,0.5,0.0,1.0
balanced_instance,0.5,0.1,coverage_0.75,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.1,interval_upper,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.1,reported_point,42666,12,0,12,12,93,360,0.0002812543945999156,6.698482213657248e-05,0.0005967032147385695,0.0,0.0,0.0,1.0,1.0,1.0
balanced_instance,0.5,0.2,coverage_0.5,42666,24,9,42,15,93,360,0.0005625087891998312,0.00022504573394876548,0.0009774454463260269,0.375,0.11527777777777778,0.6785714285714286,0.35714285714285715,0.13333333333333333,0.6296296296296297
balanced_instance,0.5,0.2,coverage_0.75,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.2,interval_upper,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.2,reported_point,42666,45,9,42,36,93,360,0.0010547039797496837,0.0005261213571219944,0.001578397876457468,0.2,0.04345513413506013,0.40552668052668045,0.8571428571428571,0.7333333333333333,1.0
balanced_instance,0.5,0.3,coverage_0.5,42666,70,9,147,61,93,360,0.0016406506351661744,0.0007714972609659743,0.002694195046834048,0.12857142857142856,0.033684840670473386,0.27780054644808744,0.41496598639455784,0.22614795918367347,0.6095296167247387
balanced_instance,0.5,0.3,coverage_0.75,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.3,interval_upper,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.3,reported_point,42666,136,33,147,103,93,360,0.00318754980546571,0.0020851987406854027,0.004393697287248743,0.2426470588235294,0.1320754716981132,0.3813615075825156,0.7006802721088435,0.5489607843137255,0.8518888888888889
balanced_instance,0.5,0.4,coverage_0.5,42666,253,69,480,184,93,360,0.005929780152814887,0.004335107485104183,0.007566253671469832,0.2727272727272727,0.17446122168840084,0.3936686621551275,0.38333333333333336,0.27394293924466334,0.49112970362970365
balanced_instance,0.5,0.4,coverage_0.75,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
