pair,left,right,replicate,mask,eligible_joint_reported_keys,masked_left_keys,masked_right_keys,bilateral_keys_match
0,l221-s4-dai-2008,l297-s1-shen-2004,0,unilateral,"[""mixing#0:mixing method""]","[""mixing#0:chemical used"", ""mixing#0:mixing method"", ""mixing#1:mixing method""]",[],
0,l221-s4-dai-2008,l297-s1-shen-2004,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
0,l221-s4-dai-2008,l297-s1-shen-2004,0,article_block,"[""mixing#0:mixing method""]","[""mixing#0:chemical used"", ""molding#0:temperature""]","[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time""]",
1,l154-s3-eitan-2005,e410-s2-prasad-2021,0,unilateral,"[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:time"", ""drying evaporation#1:time"", ""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#1:mixing method""]",[],
1,l154-s3-eitan-2005,e410-s2-prasad-2021,0,bilateral,"[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:time"", ""mixing#0:mixing method""]",True
1,l154-s3-eitan-2005,e410-s2-prasad-2021,0,article_block,"[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:mixing method""]","[""additive#0:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#1:temperature"", ""mixing#0:mixer""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""extrusion output#0:equipment type"", ""extrusion output#0:extruder"", ""extrusion output#0:rotation mode"", ""extrusion output#0:screw channel diameter"", ""extrusion output#0:screw diameter""]",
2,l275-s1-zhou-2006,l137-s8-yang-2014,0,unilateral,"[""mixing#0:mixing method"", ""mixing#0:time""]","[""heating#0:temperature"", ""heating#0:time"", ""heating#2:temperature""]",[],
2,l275-s1-zhou-2006,l137-s8-yang-2014,0,bilateral,"[""mixing#0:mixing method"", ""mixing#0:time""]","[""mixing#0:time""]","[""mixing#0:time""]",True
2,l275-s1-zhou-2006,l137-s8-yang-2014,0,article_block,"[""mixing#0:mixing method"", ""mixing#0:time""]","[""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#2:mixing method"", ""mixing#3:mixing method""]",
3,l121-s8-nelson-2005,l275-s1-zhou-2006,0,unilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:temperature"", ""drying evaporation#2:time"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#1:mixer"", ""mixing#1:mixing method"", ""mixing#1:temperature""]",[],
3,l121-s8-nelson-2005,l275-s1-zhou-2006,0,bilateral,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]","[""heating#0:temperature"", ""mixing#0:mixing method""]","[""heating#0:temperature"", ""mixing#0:mixing method""]",True
3,l121-s8-nelson-2005,l275-s1-zhou-2006,0,article_block,"[""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""drying evaporation#1:ambient condition"", ""drying evaporation#1:time"", ""drying evaporation#2:time"", ""heating#0:time""]","[""mixing#0:mixing method""]",
4,l258-s4-du-2004,l111-s4-singha-2009,0,unilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",[],
4,l258-s4-du-2004,l111-s4-singha-2009,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
4,l258-s4-du-2004,l111-s4-singha-2009,0,article_block,"[""mixing#0:mixing method""]",[],"[""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""drying evaporation#1:temperature"", ""drying evaporation#2:ambient condition"", ""drying evaporation#2:temperature"", ""drying evaporation#3:ambient condition"", ""mixing#0:mixer"", ""mixing#1:rotational frequency"", ""mixing#2:mixer"", ""molding#1:temperature""]",
5,l304-s3-stockelhuber-2011,l229-s7-bao-2011,0,unilateral,"[""mixing#0:mixing method""]",[],[],
5,l304-s3-stockelhuber-2011,l229-s7-bao-2011,0,bilateral,"[""mixing#0:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
5,l304-s3-stockelhuber-2011,l229-s7-bao-2011,0,article_block,"[""mixing#0:mixing method""]","[""mixing#0:mixer"", ""mixing#0:mixing method"", ""mixing#0:time""]","[""heating#0:temperature"", ""heating#1:temperature"", ""heating#2:temperature"", ""heating#2:time"", ""heating#3:temperature"", ""heating#3:time"", ""mixing#0:mixing method"", ""mixing#1:mixing method"", ""mixing#1:time"", ""mixing#2:mixing method"", ""mixing#2:temperature"", ""mixing#3:mixing method"", ""mixing#3:time""]",
6,l174-s6-ramanathan-2008,l121-s8-nelson-2005,0,unilateral,"[""mixing#0:mixing method"", ""mixing#1:mixing method""]","[""mixing#0:mixing method"", ""mixing#1:time""]",[],
6,l174-s6-ramanathan-2008,l121-s8-nelson-2005,0,bilateral,"[""mixing#0:mixing method"", ""mixing#1:mixing method""]","[""mixing#0:mixing method""]","[""mixing#0:mixing method""]",True
