task,method,metric,article_macro_mean,ci_low,ci_high,n_article_groups,n_query_runs
heldout_method,balanced_strict,agreement_at_5,0.4069508448540706,0.356094470046083,0.45477054531490013,93,120
heldout_method,equal_facets,agreement_at_5,0.42396057347670246,0.3692898745519713,0.4762217741935483,93,120
heldout_method,gower_field_pool,agreement_at_5,0.4191756272401433,0.3616353046594983,0.4742383512544802,93,120
heldout_method,random_gallery,agreement_at_5,0.3261975117269449,0.32570287090597116,0.32668966985372605,93,120
heldout_method,sequence_as_bag,agreement_at_5,0.41770353302611374,0.36607142857142855,0.4633285330261137,93,120
heldout_method,sequence_as_set,agreement_at_5,0.4192407950472467,0.3725388970348649,0.4656753014011079,93,120
masked_record,balanced_strict,mrr,0.9925213675213674,0.985042735042735,0.9989316239316238,78,306
masked_record,equal_facets,mrr,0.9925213675213674,0.985042735042735,0.9989316239316238,78,306
masked_record,gower_field_pool,mrr,0.9925213675213674,0.985042735042735,0.9989316239316238,78,306
masked_record,sequence_as_bag,mrr,0.9925213675213674,0.985042735042735,0.9989316239316238,78,306
masked_record,sequence_as_set,mrr,0.9925213675213674,0.985042735042735,0.9989316239316238,78,306
masked_record,balanced_strict,recall_at_1,0.9850427350427352,0.97008547008547,0.9978632478632478,78,306
masked_record,equal_facets,recall_at_1,0.9850427350427352,0.97008547008547,0.9978632478632478,78,306
masked_record,gower_field_pool,recall_at_1,0.9850427350427352,0.97008547008547,0.9978632478632478,78,306
masked_record,sequence_as_bag,recall_at_1,0.9850427350427352,0.97008547008547,0.9978632478632478,78,306
masked_record,sequence_as_set,recall_at_1,0.9850427350427352,0.97008547008547,0.9978632478632478,78,306
masked_record,balanced_strict,recall_at_5,1.0,1.0,1.0,78,306
masked_record,equal_facets,recall_at_5,1.0,1.0,1.0,78,306
masked_record,gower_field_pool,recall_at_5,1.0,1.0,1.0,78,306
masked_record,sequence_as_bag,recall_at_5,1.0,1.0,1.0,78,306
masked_record,sequence_as_set,recall_at_5,1.0,1.0,1.0,78,306
