replicate,spearman,mean_absolute_change,max_absolute_change
0,0.9999879998026634,0.00018846309565851796,0.0063627651298272525
1,0.9999432211952837,0.00045556275010553683,0.01817388193466074
2,0.9979067398678969,0.00547950830544807,0.031238175614305086
3,0.9968390591311945,0.006248205915810096,0.03494140757245989
4,0.9997196615908148,0.001520765170484262,0.018177736426735702
5,0.9998098854470917,0.001207658529722712,0.026822523548213906
6,0.9954612586962541,0.008243734239950147,0.042871705983367425
7,0.9999458879102474,0.0004540496043212618,0.01816913653905461
8,0.9997805515824894,0.0015300716235049589,0.01642231529842919
9,0.9997738847950797,0.0014481728887465995,0.008480920258599145
10,0.9956448172703284,0.007604845850901376,0.04193621092971911
11,0.9999422212720831,0.0004307663444561194,0.007941246480773767
12,0.9997681069126582,0.0009866066737195748,0.03608335265655016
13,0.9998329969767783,0.0012125445272674596,0.006877402999429738
14,0.9992178747251189,0.00269187352977945,0.01735712107120635
15,0.9996805497713454,0.0017803545025468208,0.018314364549715245
16,0.9997685513651521,0.0012151975004648897,0.01952505544587524
17,0.9950707990694664,0.008057568307725065,0.04958473180109246
18,0.9997818849399713,0.001296812184012997,0.009151822556653366
19,0.9994272118497803,0.0022343247855916466,0.016433678469401247
