config_id,profile,variant,process_lambda,clusters,process_positive_coverage_mean,positive_coassignment,composition_matched_expected,excess,component_equal_excess,source_matched_component_equal_excess,delta_vs_composition_same_k,mask_control_component_excess,delta_vs_mask_control,mrr,source_matched_delta_vs_composition_same_k,source_matched_mask_control_component_excess,source_matched_delta_vs_mask_control,mrr_delta_vs_composition,hit_at_10,recall_at_10,nonidentical_component_equal_excess,source_matched_nonidentical_component_equal_excess,largest_cluster_fraction,singleton_fraction
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,25,0.0,0.8596819457436857,0.5543067770013952,0.30537516874229054,0.3554718538851365,0.18213119866754213,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.3656522394722385,0.2177269629107371,0.25806451612903225,0.0010576414595452142
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,50,0.0,0.8503274087932647,0.4991981888935831,0.35112921989968165,0.3725041170377852,0.1989829295891285,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.37073467674608956,0.2217568537850613,0.2469592808038075,0.0026441036488630354
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,75,0.0,0.8054256314312441,0.3951127008718807,0.4103129305593634,0.45122501667362097,0.305150440215699,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.45814766169883403,0.3267304814739467,0.10153358011634056,0.004759386567953464
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,100,0.0,0.7998129092609916,0.34718136826927143,0.45263154099172015,0.4964079492277039,0.3632273813963001,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.5042297557608205,0.3840276266301461,0.08619777895293496,0.008989952406134321
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,125,0.0,0.7820392890551918,0.2732522180784699,0.5087870709767219,0.49722557839185105,0.36596445552120804,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.4517658800322271,0.336045365861098,0.06451612903225806,0.01110523532522475
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,150,0.0,0.775491113189897,0.23890028182806208,0.5365908313618349,0.4869948593115056,0.3670442443372089,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.4103017271829839,0.31032836043906664,0.06398730830248546,0.015864621893178214
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,200,0.0,0.598690364826941,0.16777263715990334,0.43091772766703773,0.45568328236779165,0.35367135836720776,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.33345046106825676,0.2574524537771216,0.046007403490216814,0.022739291380222106
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,250,0.0,0.4106641721234799,0.13303126782774816,0.27763290429573173,0.4557089305066855,0.3634781220818793,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.3185555459159662,0.25744958664796297,0.04019037546271814,0.033315705975674244
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,300,0.0,0.3105706267539757,0.11840704727009069,0.192163579483885,0.43586818791015847,0.3557464209024234,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.2839168359529401,0.23885907584059116,0.04019037546271814,0.044420941300899
COMPOSITION_ONLY,COMPOSITION_ONLY,none,0.0,400,0.0,0.2076707202993452,0.10179598668184059,0.1058747336175046,0.41111263192342107,0.34204909883661083,0.0,nan,nan,0.04282154636326822,0.0,nan,nan,0.0,0.07971014492753623,0.0318840579710145,0.23978617533134353,0.21129034761139318,0.04019037546271814,0.07826546800634585
EQ__reported__L010,EQ,reported,0.1,25,0.45221778750419617,0.8241347053320861,0.5435791838321276,0.28055552149995855,0.3519194910492689,0.19497124040571295,-0.0035523628358676285,0.33653781410078343,0.015381676948485468,0.037916577998252404,0.012840041738170827,0.17630480120393544,0.018666439201777518,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.37201177501725585,0.2433946218830293,0.2522474881015336,0.0010576414595452142
EQ__reported__L010,EQ,reported,0.1,50,0.45221778750419617,0.80355472404116,0.4624511458076852,0.3411035782334748,0.43106746607497637,0.2674176904599186,0.05856334903719118,0.39617312585854697,0.0348943402164294,0.037916577998252404,0.06843476087079009,0.2329076840078802,0.03451000645203839,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.46070950071630296,0.3182106433523871,0.24114225277630882,0.0021152829190904283
EQ__reported__L010,EQ,reported,0.1,75,0.45221778750419617,0.7932647333956969,0.37940181409577206,0.41386291929992486,0.4621683945085505,0.30938365361592973,0.010943377834929546,0.4571706793971344,0.004997715111416112,0.037916577998252404,0.004233213400230751,0.30009471892332296,0.009288934692606776,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.4725629089570091,0.33703435152716416,0.08302485457429931,0.004759386567953464
EQ__reported__L010,EQ,reported,0.1,100,0.45221778750419617,0.7932647333956969,0.30527935723215344,0.4879853761635435,0.5351198361675928,0.38398565910771965,0.03871188693988892,0.5189060086342396,0.01621382753335321,0.037916577998252404,0.020758277711419526,0.37327994112689433,0.010705717980825313,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.5441298673743563,0.40609590649342553,0.07086197778952935,0.006874669487043892
EQ__reported__L010,EQ,reported,0.1,125,0.45221778750419617,0.7820392890551918,0.273060603007212,0.5089786860479798,0.5321602554098182,0.3996715144620028,0.0349346770179671,0.5143399186307513,0.017820336779066803,0.037916577998252404,0.03370705894079473,0.3751967394659054,0.024474774996097348,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.5038068539455406,0.39191183745764163,0.06927551560021153,0.01110523532522475
EQ__reported__L010,EQ,reported,0.1,150,0.45221778750419617,0.7661365762394762,0.24423745010186848,0.5218991261376077,0.4758552445308163,0.34637061390957746,-0.011139614780689311,0.5096414009222813,-0.03378615639146498,0.037916577998252404,-0.02067363042763143,0.3627405822567549,-0.01636996834717741,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.39990549549021664,0.2950748846256221,0.06927551560021153,0.015335801163405606
EQ__reported__L010,EQ,reported,0.1,200,0.45221778750419617,0.6258185219831618,0.1729272661805249,0.4528912558026369,0.46611395600814315,0.35882048534600014,0.010430673640351495,0.4510055247369096,0.015108431271233569,0.037916577998252404,0.005149126978792384,0.34201931967265153,0.016801165673348606,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.3538858229510793,0.27264105016719137,0.048651507139079855,0.0222104706504495
EQ__reported__L010,EQ,reported,0.1,250,0.45221778750419617,0.5191768007483629,0.1335520920967853,0.3856247086515776,0.4623596941329549,0.3706361579014792,0.006650763626269429,0.4474091808841665,0.014950513248788433,0.037916577998252404,0.007158035819599895,0.35563703281196424,0.014999125089514953,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.3300130051163767,0.27043640007729325,0.040719196192490745,0.03278688524590164
EQ__reported__L010,EQ,reported,0.1,300,0.45221778750419617,0.4078578110383536,0.1210099200118393,0.2868478910265143,0.4382773884804903,0.3582477505685854,0.0024092005703318375,0.436701016810275,0.001576371670215293,0.037916577998252404,0.0025013296661619555,0.3557085929644257,0.002539157604159681,-0.004904968365015819,0.007246376811594203,0.0036231884057971015,0.28914881000813325,0.2405433044509808,0.040719196192490745,0.044420941300899
