material_profile,process_profile,process_lambda,requested_clusters,ari_optimistic_reported,ari_reported_pessimistic,ari_optimistic_pessimistic
identity_strict,equal,0.0,8,0.03924942006359841,1.0,0.03924942006359841
identity_strict,equal,0.0,12,0.014976181893272296,0.8976247593843059,-0.002253389159043112
identity_strict,equal,0.0,20,0.7034141303504452,0.08505817510306166,0.05309778728001015
identity_strict,equal,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,equal,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,equal,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,equal,0.25,8,0.07077886079125181,0.23051002522428596,0.020548469675260035
identity_strict,equal,0.25,12,0.5019734100519535,0.7056863606132231,0.4620008741733778
identity_strict,equal,0.25,20,0.8637094339700334,0.49347724438902746,0.527038870626558
identity_strict,equal,0.25,30,0.9305127467645202,0.6988715333747413,0.6591511525982319
identity_strict,equal,0.25,50,0.9893277240623825,0.6962083221935573,0.6908887175927124
identity_strict,equal,0.25,80,0.7780802575295062,0.6268566807374356,0.5589186150990961
identity_strict,equal,0.5,8,0.7049782632218397,0.7848067822624506,0.6343781373521201
identity_strict,equal,0.5,12,0.5971818177565422,0.762652678973671,0.5428556951129582
identity_strict,equal,0.5,20,0.900369795322758,0.7209552712723348,0.7187294819503249
identity_strict,equal,0.5,30,0.910109424343583,0.7489150851962192,0.6879215765812823
identity_strict,equal,0.5,50,0.6515724909651194,0.6838476310370497,0.6276173228812616
identity_strict,equal,0.5,80,0.7252765262461262,0.6982663035319105,0.6263180626712959
identity_strict,equal,0.75,8,0.711024118725839,0.945876937925495,0.706220692855612
identity_strict,equal,0.75,12,0.7156036613960851,0.6093479333724265,0.5137012665012315
identity_strict,equal,0.75,20,0.574750059433602,0.5678171942757331,0.6689796412938241
identity_strict,equal,0.75,30,0.6890916003932614,0.7002620368513006,0.638515196199338
identity_strict,equal,0.75,50,0.7060682096924643,0.7450985014978404,0.778257122461609
identity_strict,equal,0.75,80,0.7968029630669701,0.813003369519063,0.8130222107914262
identity_strict,equal,1.0,8,0.8076658900301033,0.7883925636915157,0.9662442884163911
identity_strict,equal,1.0,12,0.49420488240891175,0.49544380327070087,0.988122654511857
identity_strict,equal,1.0,20,0.746090346272475,0.7552596458930844,0.8234700102727195
identity_strict,equal,1.0,30,0.6808596319797429,0.7124170354485352,0.6356834936174002
identity_strict,equal,1.0,50,0.8382955353560143,0.8699975040784995,0.8368823998640096
identity_strict,equal,1.0,80,0.9110058254296495,0.8462756990216886,0.8132934868494762
identity_strict,method_type,0.0,8,0.03924942006359841,1.0,0.03924942006359841
identity_strict,method_type,0.0,12,0.014976181893272296,0.8976247593843059,-0.002253389159043112
identity_strict,method_type,0.0,20,0.7034141303504452,0.08505817510306166,0.05309778728001015
identity_strict,method_type,0.0,30,0.8701434434496215,0.17993941171577316,0.15250881566088684
identity_strict,method_type,0.0,50,0.914510249336182,0.45826714511710687,0.44788786870870567
identity_strict,method_type,0.0,80,0.920706983002375,0.43435708469489376,0.41698196210582644
identity_strict,method_type,0.25,8,0.8093135327806192,0.7885967072646028,0.6928412665814373
identity_strict,method_type,0.25,12,0.7986503610151328,0.7976556139949991,0.6731424980360721
identity_strict,method_type,0.25,20,0.6760043957015722,0.7964202473832198,0.6695225862256227
identity_strict,method_type,0.25,30,0.9404673137076679,0.7143353033675263,0.6956410826766377
identity_strict,method_type,0.25,50,0.8223336009784642,0.7262035183479333,0.6757226227356945
identity_strict,method_type,0.25,80,0.956541196898127,0.5840640632286465,0.5877434025660796
identity_strict,method_type,0.5,8,0.500434778012424,0.521453137351361,0.9067027473954821
identity_strict,method_type,0.5,12,0.47421900084670954,0.47602372118018565,0.7917525015234391
identity_strict,method_type,0.5,20,0.6902943835761,0.6933006557856259,0.7890511026561504
identity_strict,method_type,0.5,30,0.5819075503816912,0.7150360011068352,0.6857713993854975
identity_strict,method_type,0.5,50,0.8715806684836155,0.8735384097709925,0.8676557149081293
identity_strict,method_type,0.5,80,0.6834264741264316,0.8879875016071097,0.6918633382215977
identity_strict,method_type,0.75,8,0.9746667125448569,0.9706290986815684,0.9782128529938923
identity_strict,method_type,0.75,12,0.798484067485768,0.9650107445037773,0.7764847504445
identity_strict,method_type,0.75,20,0.6194943925133504,0.6025066306222504,0.7474791401759565
identity_strict,method_type,0.75,30,0.7954257104675295,0.7206665849311753,0.8631470983050689
identity_strict,method_type,0.75,50,0.7464331160096026,0.756875683373933,0.8931162538814907
identity_strict,method_type,0.75,80,0.8061734168576004,0.81625659151432,0.9002193148601026
identity_strict,method_type,1.0,8,1.0,1.0,1.0
identity_strict,method_type,1.0,12,0.9966059016614789,0.9966059016614789,1.0
identity_strict,method_type,1.0,20,0.8621335312880913,0.8621335312880913,1.0
identity_strict,method_type,1.0,30,0.9669993400766832,0.962993618946224,0.9960467208725291
identity_strict,method_type,1.0,50,0.9546613760271531,0.9090160116856162,0.9432451574402257
