facet,pair_count,reported_pair_fraction,mean_common_coverage,median_common_coverage,mean_interval_width,median_interval_width,median_reported_distance
matrix_strict,345696,1.0,1.0,1.0,0.0,0.0,1.0
matrix_soft,345696,1.0,1.0,1.0,0.0,0.0,0.9385964870452881
filler_strict,345696,0.7570987225770619,0.7570987343788147,1.0,0.2429012805223465,0.0,1.0
filler_soft,345696,0.7570987225770619,0.7570987343788147,1.0,0.2429012805223465,0.0,0.9615384340286255
surface_strict,345696,0.01996841155234657,0.019968410953879356,0.0,0.9800316095352173,1.0,1.0
surface_soft,345696,0.01996841155234657,0.019968410953879356,0.0,0.9800316095352173,1.0,0.9459459185600281
loading,345696,0.7570987225770619,0.7570987343788147,1.0,0.2429012805223465,0.0,0.033323489129543304
descriptor,345696,1.0,0.662278413772583,0.6666666865348816,0.337721586227417,0.3333333432674408,0.18379753828048706
process_family,345696,1.0,1.0,1.0,0.0,0.0,1.0
step_type,345696,1.0,1.0,1.0,0.0,0.0,0.6666666865348816
sequence,345696,1.0,1.0,1.0,0.0,0.0,0.7272727489471436
settings_all,345696,0.8106746968434694,0.1631547063589096,0.13333334028720856,0.8368452787399292,0.8666666746139526,0.5596597194671631
settings_numeric,345696,0.6746303110247154,0.14735731482505798,0.10526315867900848,0.8526426553726196,0.8947368264198303,0.38046470284461975
