control,k,metric,original,shuffled_mean,shuffled_sd,original_minus_shuffled
sequence_order_shuffle,20,same_paper_cocluster,0.9574724172517552,0.9447542627883652,0.011876123856697956,0.012718154463390086
sequence_order_shuffle,20,same_paper_recall_lift,4.631326624183861,5.3447921637737155,0.5441804380280949,-0.7134655395898548
sequence_order_shuffle,20,paper_ari,0.09454288553411287,0.1107330265887048,0.012260695128942544,-0.016190141054591933
sequence_order_shuffle,20,shared_author_lift,1.7800404210932244,1.7555615419887025,0.04288228189631637,0.024478879104521845
sequence_order_shuffle,50,same_paper_cocluster,0.9568706118355065,0.9157472417251755,0.00547577200603764,0.04112337011033096
sequence_order_shuffle,50,same_paper_recall_lift,13.02294251933719,14.60664196554903,2.22126438468806,-1.5836994462118401
sequence_order_shuffle,50,paper_ari,0.2558380343177956,0.2764801591902773,0.03219618682420111,-0.020642124872481682
sequence_order_shuffle,50,shared_author_lift,3.0255488413740776,3.1701361849001493,0.20755277177187656,-0.1445873435260716
settings_value_shuffle,20,same_paper_cocluster,0.9574724172517552,0.9420060180541625,0.021136710775557673,0.01546639919759274
settings_value_shuffle,20,same_paper_recall_lift,4.838070011779421,4.7106662812037525,0.2667120680626193,0.12740373057566856
settings_value_shuffle,20,paper_ari,0.0993785512810582,0.09624576794618774,0.006102819023161916,0.003132783334870465
settings_value_shuffle,20,shared_author_lift,1.828695208157789,1.7892319213552994,0.03446710513131768,0.03946328680248956
settings_value_shuffle,50,same_paper_cocluster,0.9466399197592779,0.8802006018054163,0.0055203374937307466,0.0664393179538616
settings_value_shuffle,50,same_paper_recall_lift,14.734154120653416,12.1064429708184,1.6889651212269932,2.627711149835017
settings_value_shuffle,50,paper_ari,0.2812697603846683,0.2372784711485742,0.02726893661905076,0.04399128923609408
settings_value_shuffle,50,shared_author_lift,3.1643200282299273,2.8425665462428524,0.19533229152437614,0.3217534819870749
