view_support,directed_neighbor_hits,mean_neighbor_rank,mean_distance,shared_author,same_location_exact,left_sample_id,left_paper_group,left_doi,left_sample_label,left_matrix,left_filler,left_surface_treatment,left_process_family,left_sequence,left_authors,left_location,right_sample_id,right_paper_group,right_doi,right_sample_label,right_matrix,right_filler,right_surface_treatment,right_process_family,right_sequence,right_authors,right_location
18,34,1.8823529411764706,0.23618531402419596,False,False,l132-s1-holt-2014,article:l132,10.1021/ma5000317, in poly(2-vinylpyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s10-rittigstein-2006,article:l171,10.1002/polb.20925,alumina in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),Aluminium oxide,,Solution Processing,solvent > mixing > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,33,1.3333333333333333,0.16623020081809073,False,False,e139-s6-hassinger-2016,article:e139,unpublished/doi-nnzNriDmKkz2NFA7BCR2dG,silica in polypropylene,Poly(propylene),Silicon dioxide,chloropropyldimethylethoxysilane,Solution Processing,mixing > drying evaporation > extrusion|output,,,e410-s2-prasad-2021,article:e410,unpublished-,Silica in Polypropylene,Poly(propylene),Silicon dioxide,n-octyldimethylmethoxysilane,Melt Mixing,mixing > drying evaporation > extrusion|output,,
18,32,2.34375,0.23605953948572278,False,False,l132-s1-holt-2014,article:l132,10.1021/ma5000317, in poly(2-vinylpyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s7-rittigstein-2006,article:l171,10.1002/polb.20925,alumina in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),Aluminium oxide,,Solution Processing,solvent > mixing > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,32,2.8125,0.23605953948572278,False,False,l132-s1-holt-2014,article:l132,10.1021/ma5000317, in poly(2-vinylpyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s8-rittigstein-2006,article:l171,10.1002/polb.20925,alumina in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),Aluminium oxide,,Solution Processing,solvent > mixing > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,32,3.28125,0.23605953948572278,False,False,l132-s1-holt-2014,article:l132,10.1021/ma5000317, in poly(2-vinylpyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s9-rittigstein-2006,article:l171,10.1002/polb.20925,alumina in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),Aluminium oxide,,Solution Processing,solvent > mixing > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,31,1.6129032258064515,0.20649719839134523,False,False,e408-s24-prasad-2021,article:e408,unpublished-,Silica in Polystyrene,Polystyrene,Silicon dioxide,n-octyldimethylmethoxysilane,Melt Mixing,mixing > drying evaporation > extrusion|output,,,e410-s2-prasad-2021,article:e410,unpublished-,Silica in Polypropylene,Poly(propylene),Silicon dioxide,n-octyldimethylmethoxysilane,Melt Mixing,mixing > drying evaporation > extrusion|output,,
18,28,3.5,0.25570431458098547,False,False,l132-s2-holt-2014,article:l132,10.1021/ma5000317,silica in poly(2-vinylpyridine),Poly(2-vinyl pyridine),Silicon dioxide,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s6-rittigstein-2006,article:l171,10.1002/polb.20925, in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,28,4.142857142857143,0.25570431458098547,False,False,l132-s3-holt-2014,article:l132,10.1021/ma5000317,silica in poly(2-vinylpyridine),Poly(2-vinyl pyridine),Silicon dioxide,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s6-rittigstein-2006,article:l171,10.1002/polb.20925, in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,28,4.785714285714286,0.25570431458098547,False,False,l132-s4-holt-2014,article:l132,10.1021/ma5000317,silica in poly(2-vinylpyridine),Poly(2-vinyl pyridine),Silicon dioxide,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s6-rittigstein-2006,article:l171,10.1002/polb.20925, in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
18,28,5.428571428571429,0.25570431458098547,False,False,l132-s5-holt-2014,article:l132,10.1021/ma5000317,silica in poly(2-vinylpyridine),Poly(2-vinyl pyridine),Silicon dioxide,,Solution Processing,solvent > mixing > drying evaporation > drying evaporation,"Holt, Adam P. | Griffin, Philip J. | Bocharova, Vera | Agapov, Alexander L. | Imel, Adam E. | Dadmun, Mark D. | Sangoro, Joshua R. | Sokolov, Alexei P.","Department of Physics and Astronomy, University of Tennessee , Knoxville, Tennessee 37996, United States, Chemical Sciences Division, Oak Ridge National Laboratory , Oak Ridge, Tennessee 37831, USA",l171-s6-rittigstein-2006,article:l171,10.1002/polb.20925, in poly(2-vinyl pyridine),Poly(2-vinyl pyridine),,,Solution Processing,solvent > drying evaporation > cooling > cooling,"Rittigstein, Perla | Torkelson, John M.","Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208"
