view,bound,queries,mrr_midrank,median_first_same_paper_midrank,hit_at_1_optimistic_ties,hit_at_5_optimistic_ties,hit_at_10_optimistic_ties
material_only,optimistic,818,0.18146779388012507,13.5,0.991442542787286,0.9963325183374083,0.9963325183374083
material_only,reported,818,0.18229305527465323,13.5,0.991442542787286,0.9963325183374083,0.9963325183374083
material_only,pessimistic,818,0.27808063867965244,6.0,0.9951100244498777,0.9963325183374083,0.9975550122249389
balanced,optimistic,818,0.8776337205383831,1.0,0.9938875305623472,0.9975550122249389,0.9987775061124694
balanced,reported,818,0.8812237278482922,1.0,0.9987775061124694,0.9987775061124694,0.9987775061124694
balanced,pessimistic,818,0.912809620541244,1.0,0.9926650366748166,0.9987775061124694,0.9987775061124694
sequence_focus,optimistic,818,0.46319058091995935,2.5,0.9926650366748166,0.9987775061124694,0.9987775061124694
sequence_focus,reported,818,0.4647506092043475,2.5,0.9963325183374083,0.9975550122249389,0.9987775061124694
sequence_focus,pessimistic,818,0.4924552339672019,2.5,0.9951100244498777,0.9975550122249389,0.9987775061124694
settings_focus,optimistic,818,0.46191497876462584,2.5,0.9938875305623472,0.9963325183374083,0.9987775061124694
settings_focus,reported,818,0.4632877330802417,2.5,0.9963325183374083,0.9975550122249389,0.9987775061124694
settings_focus,pessimistic,818,0.4945863887886506,2.5,0.9987775061124694,0.9987775061124694,0.9987775061124694
numeric_settings_focus,optimistic,818,0.4588343624899518,2.5,0.9926650366748166,0.9975550122249389,0.9975550122249389
numeric_settings_focus,reported,818,0.46131004445555496,2.5,0.9963325183374083,0.9987775061124694,0.9987775061124694
numeric_settings_focus,pessimistic,818,0.4883725046420816,2.5,0.9963325183374083,1.0,1.0
process_only,optimistic,818,0.3678725350055869,3.5,0.9877750611246944,0.988997555012225,0.9938875305623472
process_only,reported,818,0.37035927803668545,3.5,0.991442542787286,0.9926650366748166,0.9963325183374083
process_only,pessimistic,818,0.3847917297498025,3.0,0.9877750611246944,0.988997555012225,0.9951100244498777
