,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y1,y2
0,0.28,0.13,0.23,0.0,0.0,0.0,0.22,0.0,0.0,0.14,1.0,1.0,0.0,1.0,1.0,0.6,0.2,3.7,3.0,2.4,21.0,10.0,22.0,13.0,24.0,29.0,10.0,29.0,27.0,17.0,509.3637022470679,974.0979999984146
1,0.0,0.0,0.26,0.13,0.24,0.0,0.0,0.25,0.0,0.13,0.0,1.0,0.0,1.0,1.0,2.8,2.8,1.0,0.8,2.0,27.0,20.0,10.0,16.0,27.0,24.0,10.0,26.0,24.0,23.0,404.89527781108654,723.0430000135899
2,0.0,0.17,0.17,0.0,0.2,0.23,0.0,0.23,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2,3.7,0.6,0.8,2.1,19.0,18.0,24.0,18.0,21.0,22.0,12.0,14.0,11.0,28.0,361.0938595073884,729.6400246539464
3,0.23,0.0,0.0,0.23,0.19,0.0,0.0,0.23,0.11,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.1,0.7,4.1,0.7,28.0,15.0,11.0,21.0,25.0,23.0,27.0,14.0,12.0,14.0,406.41059416204484,706.140991630476
4,0.15,0.22,0.0,0.22,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.1,1.8,1.6,0.2,26.0,15.0,15.0,28.0,23.0,20.0,28.0,20.0,10.0,28.0,293.8492863267042,573.3730047866483
5,0.0,0.28,0.0,0.08,0.27,0.0,0.0,0.13,0.23,0.0,0.0,1.0,1.0,1.0,1.0,3.2,0.9,1.2,2.3,2.4,14.0,26.0,12.0,28.0,11.0,23.0,11.0,14.0,22.0,15.0,484.62574283893576,842.8510001143367
6,0.23,0.0,0.2,0.17,0.0,0.0,0.0,0.23,0.0,0.18,0.0,0.0,1.0,1.0,0.0,0.0,3.7,0.3,1.1,4.2,11.0,24.0,19.0,26.0,25.0,11.0,25.0,22.0,20.0,14.0,394.06203940429305,724.41100121273
7,0.15,0.0,0.0,0.0,0.26,0.21,0.0,0.16,0.0,0.22,1.0,0.0,0.0,0.0,1.0,0.9,1.1,1.0,1.6,1.3,23.0,16.0,21.0,26.0,29.0,15.0,21.0,19.0,10.0,12.0,385.08641639199345,630.2259999999538
8,0.12,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.37,0.0,1.0,1.0,1.0,0.0,0.3,0.3,3.1,3.7,0.1,17.0,11.0,22.0,21.0,20.0,20.0,26.0,26.0,29.0,29.0,447.8418875822311,836.8299609224122
9,0.0,0.26,0.19,0.21,0.0,0.0,0.0,0.18,0.0,0.16,1.0,0.0,0.0,1.0,0.0,0.4,1.8,1.5,4.7,1.6,21.0,18.0,11.0,12.0,12.0,24.0,27.0,21.0,19.0,17.0,388.1883115666995,626.8420027135616
10,0.2,0.0,0.0,0.15,0.0,0.23,0.15,0.0,0.0,0.27,1.0,1.0,0.0,0.0,1.0,0.3,3.0,0.8,1.7,3.5,11.0,11.0,21.0,19.0,20.0,21.0,11.0,18.0,10.0,15.0,464.14149549009505,766.0000008272831
11,0.0,0.0,0.16,0.23,0.25,0.0,0.0,0.0,0.16,0.19,1.0,1.0,1.0,1.0,1.0,1.4,2.2,1.0,0.3,2.4,24.0,20.0,22.0,13.0,28.0,16.0,18.0,26.0,11.0,17.0,403.47790144923977,841.3029999535217
12,0.0,0.0,0.0,0.17,0.0,0.19,0.2,0.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.4,1.7,0.3,2.4,16.0,23.0,29.0,22.0,15.0,15.0,26.0,29.0,27.0,21.0,331.52861530832246,429.54400000748126
13,0.0,0.18,0.0,0.19,0.0,0.18,0.21,0.24,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.1,0.3,2.8,1.7,0.4,18.0,21.0,11.0,15.0,10.0,22.0,13.0,13.0,17.0,28.0,439.77064771342657,782.650000181812
14,0.0,0.08,0.34,0.0,0.0,0.0,0.0,0.23,0.13,0.21,1.0,0.0,1.0,1.0,0.0,2.7,0.6,2.0,2.7,0.1,23.0,13.0,24.0,16.0,21.0,10.0,19.0,13.0,22.0,22.0,391.0972405307879,656.0109999999977
15,0.0,0.0,0.0,0.23,0.22,0.0,0.21,0.18,0.16,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.3,4.9,0.6,27.0,11.0,21.0,15.0,25.0,19.0,29.0,11.0,26.0,11.0,475.72684619683196,885.0699988620865
16,0.0,0.15,0.26,0.19,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,0.4,3.9,2.2,24.0,11.0,19.0,29.0,26.0,27.0,27.0,27.0,23.0,12.0,388.5726362906167,568.8820004061614
17,0.14,0.2,0.23,0.22,0.0,0.0,0.0,0.21,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.1,1.8,0.8,0.4,28.0,17.0,20.0,16.0,18.0,13.0,22.0,11.0,20.0,14.0,349.42260230367623,698.9500052185444
18,0.21,0.0,0.0,0.0,0.24,0.0,0.17,0.0,0.19,0.18,0.0,1.0,1.0,1.0,0.0,1.2,1.0,0.4,0.2,4.5,10.0,13.0,22.0,14.0,21.0,13.0,26.0,17.0,19.0,22.0,401.4965088244496,803.0350000665587
19,0.0,0.18,0.17,0.2,0.0,0.0,0.17,0.0,0.29,0.0,1.0,0.0,0.0,1.0,1.0,1.1,0.8,0.6,4.1,0.4,25.0,16.0,30.0,22.0,21.0,21.0,19.0,14.0,27.0,22.0,399.2917727632613,725.7790005321305
20,0.0,0.16,0.24,0.18,0.0,0.0,0.0,0.0,0.25,0.18,0.0,0.0,0.0,0.0,1.0,2.6,2.1,0.0,0.5,0.7,24.0,29.0,16.0,21.0,15.0,12.0,11.0,27.0,18.0,21.0,356.6346954816444,610.8489856340168
21,0.0,0.21,0.21,0.18,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.2,1.4,2.1,2.1,22.0,19.0,14.0,11.0,12.0,13.0,25.0,18.0,28.0,29.0,264.8102091299538,433.52199767844854
22,0.24,0.0,0.16,0.0,0.18,0.0,0.0,0.0,0.18,0.25,1.0,0.0,1.0,0.0,0.0,0.2,2.3,3.6,0.2,3.3,16.0,15.0,20.0,25.0,20.0,20.0,13.0,12.0,30.0,28.0,368.20522742808276,688.2129997964838
23,0.0,0.0,0.0,0.18,0.19,0.21,0.21,0.0,0.0,0.22,1.0,1.0,1.0,0.0,0.0,0.6,1.3,2.1,2.4,2.2,15.0,27.0,10.0,15.0,22.0,24.0,19.0,25.0,21.0,20.0,357.58408933145535,587.323000038516
24,0.0,0.0,0.32,0.0,0.13,0.0,0.21,0.0,0.19,0.16,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.1,0.5,4.0,29.0,11.0,23.0,23.0,23.0,24.0,17.0,27.0,23.0,24.0,388.4781915070412,640.6029983089865
25,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.15,0.27,0.19,0.0,1.0,0.0,1.0,1.0,1.4,3.0,0.2,0.2,3.3,12.0,20.0,13.0,24.0,10.0,23.0,30.0,18.0,24.0,11.0,423.90549365770244,868.1769949971707
