,raw_material_1,raw_material_2,raw_material_3,temperature,time
sample_1,0.5,0.1,0.4,85,80
sample_2,0.7,0,0.3,55,50
sample_3,0,0.2,0.8,70,40
sample_4,0.9,0.1,0,60,90
sample_5,0.2,0,0.8,75,120
sample_6,0.7,0.1,0.2,90,60
sample_7,0.1,0,0.9,80,10
sample_8,0.1,0,0.9,90,90
sample_9,0.4,0.1,0.5,100,110
sample_10,0.5,0.2,0.3,60,40
sample_11,0.8,0.1,0.1,50,10
sample_12,0.8,0.1,0.1,65,40
sample_13,0.5,0.2,0.3,60,80
sample_14,0.5,0.4,0.1,90,40
sample_15,0,0.1,0.9,50,10
sample_16,0.5,0.3,0.2,55,50
sample_17,0,0.3,0.7,80,20
sample_18,1,0,0,70,60
sample_19,0.8,0.1,0.1,100,100
sample_20,0.3,0,0.7,60,10
